center_type,name,total_capacity,priority,country_code,address_line_1,address_line_2,city,state_province,postal_code,department_id,arrondissement_id,commune_id,communal_section_id,diplomatic_mission_id,notes
domestic,École Nationale Arcachon,1800,8,HT,Route Arcachon,Arcachon,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Côte Plage,1350,7,HT,Route Côte Plage,Côte Plage 14,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Procy,900,6,HT,Route Procy,Procy,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Coupeau,900,6,HT,Route Coupeau,Coupeau,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Bouvier,900,6,HT,Route Bouvier,Bouvier,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Lavalle,1350,7,HT,Route Lavalle,Lavalle,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Berly,900,6,HT,Route Berly,Berly,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Bizoton,1800,8,HT,Route Bizoton 43,Bizoton,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Thor,1350,7,HT,Route Thor 19,Thor,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Rivière Froide,1800,8,HT,Route Rivière Froide,Rivière Froide,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Malanga,900,6,HT,Route Malanga,Malanga,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,École Nationale Corail Thor,900,5,HT,Route Corail Thor,Corail Thor,Carrefour,Ouest,HT6130,1,1,3,414,,
domestic,Lycée de Pétion-Ville,3150,10,HT,Rue Rigaud,Pétion-Ville Centre,Pétion-Ville,Ouest,HT6140,1,1,4,417,,
domestic,Collège Canado-Haïtien,2250,9,HT,Rue Faubert,Pétion-Ville,Pétion-Ville,Ouest,HT6140,1,1,4,417,,
domestic,Institution Saint-Louis-Marie de Montfort,1800,8,HT,Rue Gabart,Pétion-Ville,Pétion-Ville,Ouest,HT6140,1,1,4,417,,
domestic,École Nationale Juvénat,2250,9,HT,Route de Juvénat,Juvénat,Pétion-Ville,Ouest,HT6140,1,1,4,417,,
domestic,Collège Saint-Pierre de Juvénat,1350,7,HT,Rue Saint-Louis,Juvénat 7,Pétion-Ville,Ouest,HT6140,1,1,4,417,,
domestic,École Nationale Diègue,1800,8,HT,Route Diègue,Diègue,Pétion-Ville,Ouest,HT6140,1,1,4,417,,
domestic,École Nationale Bellevue La Montagne,1350,7,HT,Route Bellevue,Bellevue La Montagne,Pétion-Ville,Ouest,HT6140,1,1,4,417,,
domestic,École Nationale Bellevue Chardonnière,900,6,HT,Route Chardonnière,Bellevue Chardonnière,Pétion-Ville,Ouest,HT6140,1,1,4,417,,
domestic,Lycée de Kenscoff,1800,8,HT,Place de Kenscoff,Kenscoff Centre,Kenscoff,Ouest,HT6150,1,1,5,419,,
domestic,École Nationale Belle Fontaine,900,5,HT,Route Belle Fontaine,Belle Fontaine,Kenscoff,Ouest,HT6150,1,1,5,419,,
domestic,École Nationale Grand Fond,900,5,HT,Route Grand Fond,Grand Fond,Kenscoff,Ouest,HT6150,1,1,5,419,,
domestic,École Nationale Furcy,900,5,HT,Route Furcy,Belle Fontaine 4,Kenscoff,Ouest,HT6150,1,1,5,419,,
domestic,École Nationale Obléon,900,5,HT,Route Obléon,Grand Fond 5,Kenscoff,Ouest,HT6150,1,1,5,419,,
domestic,Lycée de Gressier,1800,7,HT,Route Nationale 2,Carrefour Marassa,Gressier,Ouest,HT6160,1,1,6,421,,
domestic,École Nationale Mariani,1350,6,HT,Route Mariani,Mariani,Gressier,Ouest,HT6160,1,1,6,421,,
domestic,École Nationale Cité Soleil,2700,10,HT,Route Nationale 1,Cité l'Éternel,Cité Soleil,Ouest,HT6170,1,1,7,423,,
domestic,Lycée Nelson Mandela,2250,9,HT,Route Varreux,Cité Soleil,Cité Soleil,Ouest,HT6170,1,1,7,423,,
domestic,École Nationale Wharf Jérémie,1800,8,HT,Boulevard La Saline,Wharf Jérémie,Cité Soleil,Ouest,HT6170,1,1,7,423,,
domestic,École Nationale Brooklyn,1350,7,HT,Route Brooklyn,Brooklyn,Cité Soleil,Ouest,HT6170,1,1,7,423,,
domestic,Lycée de Tabarre,2700,10,HT,Route de Tabarre,Tabarre Centre,Tabarre,Ouest,HT6180,1,1,8,425,,
domestic,École Nationale Tabarre 27,1800,8,HT,Tabarre 27,Tabarre,Tabarre,Ouest,HT6180,1,1,8,425,,
domestic,École Nationale Chavannes,1350,7,HT,Route Chavannes,Chavannes,Tabarre,Ouest,HT6180,1,1,8,425,,
domestic,École Nationale Clercine,2250,9,HT,Route Clercine,Clercine 19,Tabarre,Ouest,HT6180,1,1,8,425,,
domestic,Institution Mixte Clercine,1350,7,HT,Clercine 41,Clercine 41,Tabarre,Ouest,HT6180,1,1,8,425,,
domestic,École Nationale Bellevue Tabarre,1350,7,HT,Route Bellevue,Bellevue,Tabarre,Ouest,HT6180,1,1,8,425,,
domestic,Lycée Anacaona,2700,10,HT,Place d'Armes,Léogâne Centre,Léogâne,Ouest,HT6210,1,2,9,427,,Sant prensipal Léogâne
domestic,École Nationale de Léogâne,2250,9,HT,Rue Lamarre,Léogâne Centre,Léogâne,Ouest,HT6210,1,2,9,427,,
domestic,École Nationale Dessources,1350,7,HT,Route Dessources,Dessources,Léogâne,Ouest,HT6210,1,2,9,427,,
domestic,École Nationale Grande Plaine,1800,8,HT,Route Grande Plaine,Grande Plaine,Léogâne,Ouest,HT6210,1,2,9,427,,
domestic,École Nationale Palmiste à Vin,900,5,HT,Route Palmiste à Vin,Palmiste à Vin,Léogâne,Ouest,HT6210,1,2,9,427,,
domestic,École Nationale Orangers,900,5,HT,Route Orangers,Orangers,Léogâne,Ouest,HT6210,1,2,9,427,,
domestic,École Nationale Beausejour,900,5,HT,Route Beausejour,Beausejour,Léogâne,Ouest,HT6210,1,2,9,427,,
domestic,École Nationale Gros Morne,1350,6,HT,Route Gros Morne,Gros Morne,Léogâne,Ouest,HT6210,1,2,9,427,,
domestic,Lycée Faustin Soulouque,2250,9,HT,Rue Faustin Soulouque,Petit-Goâve Centre,Petit-Goâve,Ouest,HT6220,1,2,10,429,,
domestic,École Nationale de Petit-Goâve,1800,8,HT,Rue de la République,Petit-Goâve,Petit-Goâve,Ouest,HT6220,1,2,10,429,,
domestic,École Nationale Sources Chaudes,1350,7,HT,Route Sources Chaudes,Sources Chaudes,Petit-Goâve,Ouest,HT6220,1,2,10,429,,
domestic,École Nationale Petit Bois,900,5,HT,Route Petit Bois,Petit Bois,Petit-Goâve,Ouest,HT6220,1,2,10,429,,
domestic,Lycée Jean-Baptiste Cinéas,1800,8,HT,Rue Sténio Vincent,Grand-Goâve Centre,Grand-Goâve,Ouest,HT6230,1,2,11,431,,
domestic,École Nationale Grande Colline,1350,6,HT,Route Grande Colline,Grande Colline,Grand-Goâve,Ouest,HT6230,1,2,11,431,,
domestic,École Nationale Fond Jean-Noël,900,5,HT,Route Fond Jean-Noël,Fond Jean-Noël,Grand-Goâve,Ouest,HT6230,1,2,11,431,,
domestic,Lycée Jacques 1er,2700,10,HT,Boulevard du 15 octobre,Croix-des-Bouquets Centre,Croix-Des-Bouquets,Ouest,HT6310,1,3,12,433,,
domestic,École Nationale Boucassin,1800,8,HT,Route Boucassin,Boucassin,Croix-Des-Bouquets,Ouest,HT6310,1,3,12,433,,
domestic,École Nationale Croix-des-Bouquets,2250,9,HT,Rue Stenio Vincent,Croix-des-Bouquets,Croix-Des-Bouquets,Ouest,HT6310,1,3,12,433,,
domestic,École Nationale Belle Fontaine CB,1350,7,HT,Route Belle Fontaine,Belle Fontaine,Croix-Des-Bouquets,Ouest,HT6310,1,3,12,433,,
domestic,École Nationale Plaisance,1350,7,HT,Route Plaisance,Plaisance,Croix-Des-Bouquets,Ouest,HT6310,1,3,12,433,,
domestic,École Nationale Varreux CB,1350,7,HT,Route Varreux,Varreux,Croix-Des-Bouquets,Ouest,HT6310,1,3,12,433,,
domestic,École Nationale Thomazeau,1800,8,HT,Rue Principale,Thomazeau Centre,Thomazeau,Ouest,HT6320,1,3,13,435,,
domestic,École Nationale Corail Cesselesse,900,5,HT,Route Corail,Corail Cesselesse,Thomazeau,Ouest,HT6320,1,3,13,435,,
domestic,Lycée de Ganthier,1800,8,HT,Rue Principale,Ganthier Centre,Ganthier,Ouest,HT6330,1,3,14,437,,
domestic,École Nationale Mare Roseaux,900,5,HT,Route Mare Roseaux,Mare Roseaux,Ganthier,Ouest,HT6330,1,3,14,437,,
domestic,École Nationale Cornillon,1350,6,HT,Rue Principale,Cornillon Centre,Cornillon / Grand Bois,Ouest,HT6340,1,3,15,439,,
domestic,École Nationale Fonds-Verrettes,1350,6,HT,Rue Principale,Fonds-Verrettes Centre,Fonds-Verrettes,Ouest,HT6350,1,3,16,441,,
domestic,Lycée National d'Arcahaie,2250,9,HT,Place d'Armes,Arcahaie Centre,Arcahaie,Ouest,HT6410,1,4,17,443,,Lye istorik Drapo Ayisyen
domestic,École Nationale Boucan Boyer,1350,6,HT,Route Boucan Boyer,Boucan Boyer,Arcahaie,Ouest,HT6410,1,4,17,443,,
domestic,École Nationale Matheux,900,5,HT,Route Matheux,Matheux,Arcahaie,Ouest,HT6410,1,4,17,443,,
domestic,Lycée National de Cabaret,1800,8,HT,Rue Principale,Cabaret Centre,Cabaret,Ouest,HT6420,1,4,18,445,,
domestic,École Nationale Source Matelas,1350,6,HT,Route Source Matelas,Source Matelas,Cabaret,Ouest,HT6420,1,4,18,445,,
domestic,Lycée de la Gonâve,1800,7,HT,Rue Principale,Anse à Galets Centre,Anse à Galets,Ouest,HT6510,1,5,19,447,,
domestic,École Nationale Petite Source,900,5,HT,Route Petite Source,Petite Source,Anse à Galets,Ouest,HT6510,1,5,19,447,,
domestic,École Nationale Pointe à Raquette,1350,6,HT,Rue Principale,Pointe à Raquette Centre,Pointe à Raquette,Ouest,HT6520,1,5,20,449,,
